Trl;Block;BlkTrl;Samp;S.Lat;ChKey1;ChKey2;ChKey3;ChKey4;Chlat;ChCorr;HitKey;Result
4;treinoab1;1;A1.jpg;678;B1.jpg;grey.jpg;B2.jpg;B3.jpg;1784;1;1;1
5;treinoab1;2;A2.jpg;1459;grey.jpg;B1.jpg;B2.jpg;B3.jpg;1514;3;4;0
6;treinoab1;3;A1.jpg;2184;B2.jpg;B3.jpg;grey.jpg;B1.jpg;2816;4;2;0
7;treinoab1;4;A3.jpg;2277;B3.jpg;B2.jpg;B1.jpg;grey.jpg;2439;1;3;0
8;treinoab1;5;A3.jpg;1158;B1.jpg;B2.jpg;B3.jpg;grey.jpg;3495;3;1;0
9;treinoab1;6;A1.jpg;2481;grey.jpg;B1.jpg;B3.jpg;B2.jpg;2710;2;3;0
10;treinoab1;7;A2.jpg;3157;B2.jpg;B3.jpg;grey.jpg;B1.jpg;20502;1;1;1
11;treinoab1;8;A3.jpg;1927;B2.jpg;B1.jpg;grey.jpg;B3.jpg;10351;4;2;0
12;treinoab1;9;A2.jpg;814;grey.jpg;B2.jpg;B1.jpg;B3.jpg;1855;2;2;1
13;treinoab1;10;A3.jpg;664;B1.jpg;B3.jpg;B2.jpg;grey.jpg;2991;2;2;1
14;treinoab1;11;A1.jpg;1130;B2.jpg;grey.jpg;B1.jpg;B3.jpg;3727;3;3;1
15;treinoab1;12;A1.jpg;1057;B1.jpg;grey.jpg;B3.jpg;B2.jpg;1584;1;1;1
16;treinoab1;13;A2.jpg;752;grey.jpg;B3.jpg;B2.jpg;B1.jpg;1551;3;3;1
17;treinoab1;14;A3.jpg;763;B3.jpg;grey.jpg;B1.jpg;B2.jpg;6455;1;1;1
18;treinoab1;15;A1.jpg;37255;B3.jpg;B2.jpg;grey.jpg;B1.jpg;3480;4;4;1
19;treinoab1;16;A2.jpg;859;grey.jpg;B2.jpg;B1.jpg;B3.jpg;1224;2;2;1
20;treinoab1;17;A2.jpg;747;B3.jpg;B1.jpg;grey.jpg;B2.jpg;4264;4;4;1
21;treinoab1;18;A3.jpg;1008;B1.jpg;B2.jpg;B3.jpg;grey.jpg;2584;3;3;1
22;treinoab2;1;A3.jpg;812;grey.jpg;B1.jpg;B2.jpg;B3.jpg;6552;4;4;1
23;treinoab2;2;A2.jpg;733;grey.jpg;B2.jpg;B3.jpg;B1.jpg;1048;2;2;1
24;treinoab2;3;A3.jpg;764;B1.jpg;B3.jpg;B2.jpg;grey.jpg;2456;2;2;1
25;treinoab2;4;A1.jpg;912;B3.jpg;grey.jpg;B1.jpg;B2.jpg;2008;3;3;1
26;treinoab2;5;A3.jpg;720;B1.jpg;B2.jpg;grey.jpg;B3.jpg;1992;4;4;1
27;treinoab2;6;A1.jpg;703;B1.jpg;B3.jpg;B2.jpg;grey.jpg;1328;1;3;0
28;treinoab2;7;A2.jpg;549;grey.jpg;B1.jpg;B2.jpg;B3.jpg;1408;3;3;1
29;treinoab2;8;A1.jpg;819;B3.jpg;B2.jpg;B1.jpg;grey.jpg;2136;3;1;0
30;treinoab2;9;A2.jpg;509;B1.jpg;B3.jpg;grey.jpg;B2.jpg;1032;4;4;1
31;treinoab2;10;A3.jpg;701;B2.jpg;B3.jpg;grey.jpg;B1.jpg;1080;2;2;1
32;treinoab2;11;A2.jpg;741;B3.jpg;grey.jpg;B1.jpg;B2.jpg;1072;4;4;1
33;treinoab2;12;A3.jpg;793;grey.jpg;B1.jpg;B3.jpg;B2.jpg;1768;3;3;1
34;treinoab2;13;A3.jpg;1013;B3.jpg;B2.jpg;grey.jpg;B1.jpg;4520;1;4;0
35;treinoab2;14;A1.jpg;515;B2.jpg;B1.jpg;B3.jpg;grey.jpg;2632;2;3;0
36;treinoab2;15;A1.jpg;794;B2.jpg;grey.jpg;B3.jpg;B1.jpg;4734;4;4;1
37;treinoab2;16;A2.jpg;815;B2.jpg;B3.jpg;grey.jpg;B1.jpg;680;1;1;1
38;treinoab2;17;A1.jpg;1043;grey.jpg;B1.jpg;B3.jpg;B2.jpg;2359;2;3;0
39;treinoab2;18;A2.jpg;671;B2.jpg;grey.jpg;B1.jpg;B3.jpg;936;1;1;1
40;treinoab3;1;A2.jpg;810;B1.jpg;B3.jpg;B2.jpg;grey.jpg;823;3;3;1
41;treinoab3;2;A1.jpg;1158;B1.jpg;grey.jpg;B3.jpg;B2.jpg;3776;1;1;1
42;treinoab3;3;A3.jpg;658;B3.jpg;B2.jpg;grey.jpg;B1.jpg;1511;1;1;1
43;treinoab3;4;A1.jpg;771;B3.jpg;grey.jpg;B2.jpg;B1.jpg;1864;4;4;1
44;treinoab3;5;A3.jpg;631;grey.jpg;B1.jpg;B3.jpg;B2.jpg;895;3;3;1
