Trl;Block;BlkTrl;Samp;S.Lat;ChKey1;ChKey2;ChKey3;ChKey4;Chlat;ChCorr;HitKey;Result
4;treinoab1;1;A1.jpg;878;B1.jpg;grey.jpg;B2.jpg;B3.jpg;1657;1;4;0
5;treinoab1;2;A2.jpg;980;grey.jpg;B1.jpg;B2.jpg;B3.jpg;2831;3;2;0
6;treinoab1;3;A1.jpg;977;B2.jpg;B3.jpg;grey.jpg;B1.jpg;1976;4;2;0
7;treinoab1;4;A3.jpg;2064;B3.jpg;B2.jpg;B1.jpg;grey.jpg;2589;1;3;0
8;treinoab1;5;A3.jpg;1348;B1.jpg;B2.jpg;B3.jpg;grey.jpg;2111;3;2;0
9;treinoab1;6;A1.jpg;1227;grey.jpg;B1.jpg;B3.jpg;B2.jpg;1998;2;3;0
10;treinoab1;7;A2.jpg;891;B2.jpg;B3.jpg;grey.jpg;B1.jpg;1383;1;2;0
11;treinoab1;8;A3.jpg;1124;B2.jpg;B1.jpg;grey.jpg;B3.jpg;14939;4;4;1
12;treinoab1;9;A2.jpg;1070;grey.jpg;B2.jpg;B1.jpg;B3.jpg;1687;2;3;0
13;treinoab1;10;A3.jpg;831;B1.jpg;B3.jpg;B2.jpg;grey.jpg;1623;2;1;0
14;treinoab1;11;A1.jpg;614;B2.jpg;grey.jpg;B1.jpg;B3.jpg;2095;3;3;1
15;treinoab1;12;A1.jpg;1044;B1.jpg;grey.jpg;B3.jpg;B2.jpg;1623;1;4;0
16;treinoab1;13;A2.jpg;678;grey.jpg;B3.jpg;B2.jpg;B1.jpg;2415;3;2;0
17;treinoab1;14;A3.jpg;762;B3.jpg;grey.jpg;B1.jpg;B2.jpg;3079;1;1;1
18;treinoab1;15;A1.jpg;901;B3.jpg;B2.jpg;grey.jpg;B1.jpg;3032;4;2;0
19;treinoab1;16;A2.jpg;1398;grey.jpg;B2.jpg;B1.jpg;B3.jpg;2815;2;4;0
20;treinoab1;17;A2.jpg;688;B3.jpg;B1.jpg;grey.jpg;B2.jpg;1127;4;2;0
21;treinoab1;18;A3.jpg;784;B1.jpg;B2.jpg;B3.jpg;grey.jpg;1799;3;3;1
22;treinoab2;1;A3.jpg;847;grey.jpg;B1.jpg;B2.jpg;B3.jpg;1071;4;4;1
23;treinoab2;2;A2.jpg;562;grey.jpg;B2.jpg;B3.jpg;B1.jpg;1511;2;2;1
24;treinoab2;3;A3.jpg;641;B1.jpg;B3.jpg;B2.jpg;grey.jpg;1799;2;2;1
25;treinoab2;4;A1.jpg;409;B3.jpg;grey.jpg;B1.jpg;B2.jpg;3183;3;3;1
26;treinoab2;5;A3.jpg;667;B1.jpg;B2.jpg;grey.jpg;B3.jpg;1047;4;4;1
27;treinoab2;6;A1.jpg;338;B1.jpg;B3.jpg;B2.jpg;grey.jpg;1559;1;1;1
28;treinoab2;7;A2.jpg;479;grey.jpg;B1.jpg;B2.jpg;B3.jpg;2439;3;2;0
