Trl;Block;BlkTrl;Samp;S.Lat;ChKey1;ChKey2;ChKey3;ChKey4;Chlat;ChCorr;HitKey;Result
4;treinoab1;1;A1.jpg;1447;B1.jpg;grey.jpg;B2.jpg;B3.jpg;3680;1;4;0
5;treinoab1;2;A2.jpg;4933;grey.jpg;B1.jpg;B2.jpg;B3.jpg;3934;3;2;0
6;treinoab1;3;A1.jpg;809;B2.jpg;B3.jpg;grey.jpg;B1.jpg;2255;4;2;0
7;treinoab1;4;A3.jpg;922;B3.jpg;B2.jpg;B1.jpg;grey.jpg;2584;1;1;1
8;treinoab1;5;A3.jpg;804;B1.jpg;B2.jpg;B3.jpg;grey.jpg;1135;3;3;1
9;treinoab1;6;A1.jpg;997;grey.jpg;B1.jpg;B3.jpg;B2.jpg;1528;2;4;0
10;treinoab1;7;A2.jpg;542;B2.jpg;B3.jpg;grey.jpg;B1.jpg;1864;1;4;0
11;treinoab1;8;A3.jpg;662;B2.jpg;B1.jpg;grey.jpg;B3.jpg;1495;4;4;1
12;treinoab1;9;A2.jpg;681;grey.jpg;B2.jpg;B1.jpg;B3.jpg;1811;2;4;1
13;treinoab1;10;A3.jpg;-1.56943E+12;B1.jpg;B3.jpg;B2.jpg;grey.jpg;2127;2;3;0
14;treinoab1;11;A1.jpg;646;B2.jpg;grey.jpg;B1.jpg;B3.jpg;1695;3;3;1
15;treinoab1;12;A1.jpg;624;B1.jpg;grey.jpg;B3.jpg;B2.jpg;1199;1;1;1
16;treinoab1;13;A2.jpg;563;grey.jpg;B3.jpg;B2.jpg;B1.jpg;2999;3;4;0
17;treinoab1;14;A3.jpg;616;B3.jpg;grey.jpg;B1.jpg;B2.jpg;1223;1;1;1
18;treinoab1;15;A1.jpg;681;B3.jpg;B2.jpg;grey.jpg;B1.jpg;1163;4;1;1
19;treinoab1;16;A2.jpg;2920;grey.jpg;B2.jpg;B1.jpg;B3.jpg;1104;2;2;1
20;treinoab1;17;A2.jpg;793;B3.jpg;B1.jpg;grey.jpg;B2.jpg;1335;4;2;1
21;treinoab1;18;A3.jpg;-1.56943E+12;B1.jpg;B2.jpg;B3.jpg;grey.jpg;1359;3;2;0
22;treinoab2;1;A3.jpg;628;grey.jpg;B1.jpg;B2.jpg;B3.jpg;1312;4;4;1
23;treinoab2;2;A2.jpg;1340;grey.jpg;B2.jpg;B3.jpg;B1.jpg;3375;2;2;1
24;treinoab2;3;A3.jpg;33664;B1.jpg;B3.jpg;B2.jpg;grey.jpg;3705;2;2;1
25;treinoab2;4;A1.jpg;577;B3.jpg;grey.jpg;B1.jpg;B2.jpg;3711;3;4;0
26;treinoab2;5;A3.jpg;1488;B1.jpg;B2.jpg;grey.jpg;B3.jpg;1479;4;4;1
27;treinoab2;6;A1.jpg;539;B1.jpg;B3.jpg;B2.jpg;grey.jpg;2736;1;1;1
28;treinoab2;7;A2.jpg;505;grey.jpg;B1.jpg;B2.jpg;B3.jpg;1944;3;3;1
29;treinoab2;8;A1.jpg;761;B3.jpg;B2.jpg;B1.jpg;grey.jpg;4096;3;2;0
30;treinoab2;9;A2.jpg;472;B1.jpg;B3.jpg;grey.jpg;B2.jpg;1744;4;4;1
31;treinoab2;10;A3.jpg;438;B2.jpg;B3.jpg;grey.jpg;B1.jpg;968;2;2;1
32;treinoab2;11;A2.jpg;578;B3.jpg;grey.jpg;B1.jpg;B2.jpg;2448;4;3;0
33;treinoab2;12;A3.jpg;479;grey.jpg;B1.jpg;B3.jpg;B2.jpg;1136;3;3;1
34;treinoab2;13;A3.jpg;313;B3.jpg;B2.jpg;grey.jpg;B1.jpg;920;1;1;1
35;treinoab2;14;A1.jpg;546;B2.jpg;B1.jpg;B3.jpg;grey.jpg;2039;2;2;1
36;treinoab2;15;A1.jpg;494;B2.jpg;grey.jpg;B3.jpg;B1.jpg;1096;4;4;1
37;treinoab2;16;A2.jpg;399;B2.jpg;B3.jpg;grey.jpg;B1.jpg;945;1;1;1
38;treinoab2;17;A1.jpg;710;grey.jpg;B1.jpg;B3.jpg;B2.jpg;1312;2;2;1
39;treinoab2;18;A2.jpg;593;B2.jpg;grey.jpg;B1.jpg;B3.jpg;800;1;1;1
40;treinoab3;1;A2.jpg;425;B1.jpg;B3.jpg;B2.jpg;grey.jpg;872;3;3;1
