Trl;Block;BlkTrl;Samp;S.Lat;ChKey1;ChKey2;ChKey3;ChKey4;Chlat;ChCorr;HitKey;Result
4;treinoab1;1;A1.jpg;1956;B1.jpg;grey.jpg;B2.jpg;B3.jpg;10836;1;1;1
5;treinoab1;2;A2.jpg;1626;grey.jpg;B1.jpg;B2.jpg;B3.jpg;11704;3;4;0
6;treinoab1;3;A1.jpg;1183;B2.jpg;B3.jpg;grey.jpg;B1.jpg;3237;4;4;1
7;treinoab1;4;A3.jpg;2153;B3.jpg;B2.jpg;B1.jpg;grey.jpg;44544;1;1;1
8;treinoab1;5;A3.jpg;2208;B1.jpg;B2.jpg;B3.jpg;grey.jpg;3295;3;3;1
9;treinoab1;6;A1.jpg;847;grey.jpg;B1.jpg;B3.jpg;B2.jpg;4599;2;2;1
10;treinoab1;7;A2.jpg;909;B2.jpg;B3.jpg;grey.jpg;B1.jpg;3583;1;1;1
11;treinoab1;8;A3.jpg;1051;B2.jpg;B1.jpg;grey.jpg;B3.jpg;9791;4;4;1
12;treinoab1;9;A2.jpg;-1.56078E+12;grey.jpg;B2.jpg;B1.jpg;B3.jpg;6995;2;4;1
13;treinoab1;10;A3.jpg;869;B1.jpg;B3.jpg;B2.jpg;grey.jpg;4199;2;2;1
14;treinoab1;11;A1.jpg;644;B2.jpg;grey.jpg;B1.jpg;B3.jpg;5895;3;3;1
15;treinoab1;12;A1.jpg;731;B1.jpg;grey.jpg;B3.jpg;B2.jpg;10295;1;1;1
16;treinoab1;13;A2.jpg;1728;grey.jpg;B3.jpg;B2.jpg;B1.jpg;12088;3;3;1
17;treinoab1;14;A3.jpg;28896;B3.jpg;grey.jpg;B1.jpg;B2.jpg;5064;1;1;1
18;treinoab1;15;A1.jpg;-1.56078E+12;B3.jpg;B2.jpg;grey.jpg;B1.jpg;3091;4;1;1
19;treinoab1;16;A2.jpg;628;grey.jpg;B2.jpg;B1.jpg;B3.jpg;1119;2;2;1
20;treinoab1;17;A2.jpg;547;B3.jpg;B1.jpg;grey.jpg;B2.jpg;1128;4;4;1
21;treinoab1;18;A3.jpg;628;B1.jpg;B2.jpg;B3.jpg;grey.jpg;2944;3;3;1
22;treinoab2;1;A3.jpg;-1.56078E+12;grey.jpg;B1.jpg;B2.jpg;B3.jpg;8312;4;3;1
23;treinoab2;2;A2.jpg;575;grey.jpg;B2.jpg;B3.jpg;B1.jpg;13680;2;2;1
24;treinoab2;3;A3.jpg;639;B1.jpg;B3.jpg;B2.jpg;grey.jpg;1072;2;2;1
25;treinoab2;4;A1.jpg;-1.56078E+12;B3.jpg;grey.jpg;B1.jpg;B2.jpg;952;3;2;1
26;treinoab2;5;A3.jpg;424;B1.jpg;B2.jpg;grey.jpg;B3.jpg;832;4;4;1
27;treinoab2;6;A1.jpg;320;B1.jpg;B3.jpg;B2.jpg;grey.jpg;3144;1;1;1
28;treinoab2;7;A2.jpg;525;grey.jpg;B1.jpg;B2.jpg;B3.jpg;1848;3;3;1
29;treinoab2;8;A1.jpg;463;B3.jpg;B2.jpg;B1.jpg;grey.jpg;2121;3;3;1
