Trl;Block;BlkTrl;Samp;S.Lat;ChKey1;ChKey2;ChKey3;ChKey4;Chlat;ChCorr;HitKey;Result
4;treinoab1;1;A1.jpg;1032;B1.jpg;grey.jpg;B2.jpg;B3.jpg;2865;1;1;1
5;treinoab1;2;A2.jpg;1289;grey.jpg;B1.jpg;B2.jpg;B3.jpg;1880;3;2;0
6;treinoab1;3;A1.jpg;1702;B2.jpg;B3.jpg;grey.jpg;B1.jpg;959;4;1;0
7;treinoab1;4;A3.jpg;873;B3.jpg;B2.jpg;B1.jpg;grey.jpg;2488;1;3;0
8;treinoab1;5;A3.jpg;1838;B1.jpg;B2.jpg;B3.jpg;grey.jpg;8949;3;1;0
9;treinoab1;6;A1.jpg;4764;grey.jpg;B1.jpg;B3.jpg;B2.jpg;1694;2;2;1
10;treinoab1;7;A2.jpg;906;B2.jpg;B3.jpg;grey.jpg;B1.jpg;2703;1;1;1
11;treinoab1;8;A3.jpg;1119;B2.jpg;B1.jpg;grey.jpg;B3.jpg;1984;4;4;1
12;treinoab1;9;A2.jpg;675;grey.jpg;B2.jpg;B1.jpg;B3.jpg;2071;2;2;1
13;treinoab1;10;A3.jpg;612;B1.jpg;B3.jpg;B2.jpg;grey.jpg;1393;2;2;1
14;treinoab1;11;A1.jpg;542;B2.jpg;grey.jpg;B1.jpg;B3.jpg;1815;3;3;1
15;treinoab1;12;A1.jpg;608;B1.jpg;grey.jpg;B3.jpg;B2.jpg;1183;1;1;1
16;treinoab1;13;A2.jpg;489;grey.jpg;B3.jpg;B2.jpg;B1.jpg;2439;3;2;0
17;treinoab1;14;A3.jpg;2447;B3.jpg;grey.jpg;B1.jpg;B2.jpg;2151;1;1;1
18;treinoab1;15;A1.jpg;1358;B3.jpg;B2.jpg;grey.jpg;B1.jpg;1919;4;4;1
19;treinoab1;16;A2.jpg;515;grey.jpg;B2.jpg;B1.jpg;B3.jpg;847;2;2;1
20;treinoab1;17;A2.jpg;619;B3.jpg;B1.jpg;grey.jpg;B2.jpg;2807;4;4;1
21;treinoab1;18;A3.jpg;655;B1.jpg;B2.jpg;B3.jpg;grey.jpg;1367;3;3;1
22;treinoab2;1;A3.jpg;762;grey.jpg;B1.jpg;B2.jpg;B3.jpg;10607;4;4;1
23;treinoab2;2;A2.jpg;531;grey.jpg;B2.jpg;B3.jpg;B1.jpg;3056;2;2;1
24;treinoab2;3;A3.jpg;549;B1.jpg;B3.jpg;B2.jpg;grey.jpg;2383;2;2;1
25;treinoab2;4;A1.jpg;543;B3.jpg;grey.jpg;B1.jpg;B2.jpg;935;3;3;1
26;treinoab2;5;A3.jpg;548;B1.jpg;B2.jpg;grey.jpg;B3.jpg;3095;4;4;1
27;treinoab2;6;A1.jpg;856;B1.jpg;B3.jpg;B2.jpg;grey.jpg;944;1;1;1
28;treinoab2;7;A2.jpg;504;grey.jpg;B1.jpg;B2.jpg;B3.jpg;1383;3;3;1
29;treinoab2;8;A1.jpg;484;B3.jpg;B2.jpg;B1.jpg;grey.jpg;1031;3;3;1
30;treinoab2;9;A2.jpg;278;B1.jpg;B3.jpg;grey.jpg;B2.jpg;2319;4;4;1
31;treinoab2;10;A3.jpg;264;B2.jpg;B3.jpg;grey.jpg;B1.jpg;1159;2;2;1
32;treinoab2;11;A2.jpg;294;B3.jpg;grey.jpg;B1.jpg;B2.jpg;768;4;4;1
33;treinoab2;12;A3.jpg;272;grey.jpg;B1.jpg;B3.jpg;B2.jpg;1223;3;3;1
34;treinoab2;13;A3.jpg;318;B3.jpg;B2.jpg;grey.jpg;B1.jpg;1887;1;1;1
35;treinoab2;14;A1.jpg;332;B2.jpg;B1.jpg;B3.jpg;grey.jpg;776;2;2;1
36;treinoab2;15;A1.jpg;274;B2.jpg;grey.jpg;B3.jpg;B1.jpg;3103;4;4;1
37;treinoab2;16;A2.jpg;288;B2.jpg;B3.jpg;grey.jpg;B1.jpg;1607;1;1;1
38;treinoab2;17;A1.jpg;173;grey.jpg;B1.jpg;B3.jpg;B2.jpg;1103;2;2;1
39;treinoab2;18;A2.jpg;266;B2.jpg;grey.jpg;B1.jpg;B3.jpg;1280;1;1;1
40;treinoac1;1;A3.jpg;334;C1.jpg;C2.jpg;C3.jpg;grey.jpg;7415;3;2;0
41;treinoac1;2;A1.jpg;520;grey.jpg;C1.jpg;C3.jpg;C2.jpg;3176;2;2;1
42;treinoac1;3;A3.jpg;595;C2.jpg;C1.jpg;grey.jpg;C3.jpg;3495;4;2;0
43;treinoac1;4;A2.jpg;457;grey.jpg;C2.jpg;C1.jpg;C3.jpg;3559;2;2;1
44;treinoac1;5;A2.jpg;628;grey.jpg;C1.jpg;C2.jpg;C3.jpg;743;3;3;1
45;treinoac1;6;A3.jpg;769;C1.jpg;C2.jpg;C3.jpg;grey.jpg;8663;3;3;1
46;treinoac1;7;A2.jpg;1024;C2.jpg;C3.jpg;grey.jpg;C1.jpg;1200;1;1;1
47;treinoac1;8;A3.jpg;625;C3.jpg;grey.jpg;C1.jpg;C2.jpg;2415;1;3;0
48;treinoac1;9;A1.jpg;549;C3.jpg;C2.jpg;grey.jpg;C1.jpg;2119;4;4;1
49;treinoac1;10;A3.jpg;816;C3.jpg;C2.jpg;C1.jpg;grey.jpg;1360;1;1;1
