Trl;Block;BlkTrl;Samp;S.Lat;ChKey1;ChKey2;ChKey3;ChKey4;Chlat;ChCorr;HitKey;Result
4;treinoab1;1;A1.jpg;13579;B1.jpg;grey.jpg;B2.jpg;B3.jpg;8809;1;4;0
5;treinoab1;2;A2.jpg;15235;grey.jpg;B1.jpg;B2.jpg;B3.jpg;1441;3;4;0
6;treinoab1;3;A1.jpg;899;B2.jpg;B3.jpg;grey.jpg;B1.jpg;1783;4;1;0
7;treinoab1;4;A3.jpg;729;B3.jpg;B2.jpg;B1.jpg;grey.jpg;2887;1;2;0
8;treinoab1;5;A3.jpg;869;B1.jpg;B2.jpg;B3.jpg;grey.jpg;3546;3;1;0
9;treinoab1;6;A1.jpg;658;grey.jpg;B1.jpg;B3.jpg;B2.jpg;1680;2;2;1
10;treinoab1;7;A2.jpg;1037;B2.jpg;B3.jpg;grey.jpg;B1.jpg;7056;1;2;0
11;treinoab1;8;A3.jpg;836;B2.jpg;B1.jpg;grey.jpg;B3.jpg;3143;4;1;0
12;treinoab1;9;A2.jpg;483;grey.jpg;B2.jpg;B1.jpg;B3.jpg;1919;2;2;1
13;treinoab1;10;A3.jpg;583;B1.jpg;B3.jpg;B2.jpg;grey.jpg;4263;2;2;1
14;treinoab1;11;A1.jpg;609;B2.jpg;grey.jpg;B1.jpg;B3.jpg;3519;3;3;1
15;treinoab1;12;A1.jpg;2593;B1.jpg;grey.jpg;B3.jpg;B2.jpg;2199;1;1;1
16;treinoab1;13;A2.jpg;586;grey.jpg;B3.jpg;B2.jpg;B1.jpg;6351;3;3;1
17;treinoab1;14;A3.jpg;888;B3.jpg;grey.jpg;B1.jpg;B2.jpg;5839;1;4;0
18;treinoab1;15;A1.jpg;924;B3.jpg;B2.jpg;grey.jpg;B1.jpg;1080;4;4;1
19;treinoab1;16;A2.jpg;646;grey.jpg;B2.jpg;B1.jpg;B3.jpg;4151;2;2;1
20;treinoab1;17;A2.jpg;443;B3.jpg;B1.jpg;grey.jpg;B2.jpg;1471;4;4;1
21;treinoab1;18;A3.jpg;411;B1.jpg;B2.jpg;B3.jpg;grey.jpg;4080;3;3;1
22;treinoab2;1;A3.jpg;465;grey.jpg;B1.jpg;B2.jpg;B3.jpg;2775;4;4;1
23;treinoab2;2;A2.jpg;2797;grey.jpg;B2.jpg;B3.jpg;B1.jpg;2320;2;2;1
24;treinoab2;3;A3.jpg;7506;B1.jpg;B3.jpg;B2.jpg;grey.jpg;3487;2;1;0
25;treinoab2;4;A1.jpg;455;B3.jpg;grey.jpg;B1.jpg;B2.jpg;1263;3;3;1
26;treinoab2;5;A3.jpg;356;B1.jpg;B2.jpg;grey.jpg;B3.jpg;8391;4;4;1
27;treinoab2;6;A1.jpg;506;B1.jpg;B3.jpg;B2.jpg;grey.jpg;2631;1;1;1
28;treinoab2;7;A2.jpg;474;grey.jpg;B1.jpg;B2.jpg;B3.jpg;1704;3;3;1
29;treinoab2;8;A1.jpg;378;B3.jpg;B2.jpg;B1.jpg;grey.jpg;5704;3;3;1
30;treinoab2;9;A2.jpg;361;B1.jpg;B3.jpg;grey.jpg;B2.jpg;3184;4;4;1
31;treinoab2;10;A3.jpg;393;B2.jpg;B3.jpg;grey.jpg;B1.jpg;3207;2;2;1
32;treinoab2;11;A2.jpg;363;B3.jpg;grey.jpg;B1.jpg;B2.jpg;11872;4;4;1
33;treinoab2;12;A3.jpg;590;grey.jpg;B1.jpg;B3.jpg;B2.jpg;2215;3;3;1
34;treinoab2;13;A3.jpg;323;B3.jpg;B2.jpg;grey.jpg;B1.jpg;1832;1;1;1
35;treinoab2;14;A1.jpg;329;B2.jpg;B1.jpg;B3.jpg;grey.jpg;1336;2;2;1
36;treinoab2;15;A1.jpg;368;B2.jpg;grey.jpg;B3.jpg;B1.jpg;1600;4;4;1
37;treinoab2;16;A2.jpg;423;B2.jpg;B3.jpg;grey.jpg;B1.jpg;2272;1;1;1
38;treinoab2;17;A1.jpg;320;grey.jpg;B1.jpg;B3.jpg;B2.jpg;2567;2;2;1
39;treinoab2;18;A2.jpg;433;B2.jpg;grey.jpg;B1.jpg;B3.jpg;3160;1;1;1
40;treinoab3;1;A2.jpg;441;B1.jpg;B3.jpg;B2.jpg;grey.jpg;1040;3;3;1
41;treinoab3;2;A1.jpg;404;B1.jpg;grey.jpg;B3.jpg;B2.jpg;1864;1;1;1
42;treinoab3;3;A3.jpg;428;B3.jpg;B2.jpg;grey.jpg;B1.jpg;4760;1;1;1
43;treinoab3;4;A1.jpg;384;B3.jpg;grey.jpg;B2.jpg;B1.jpg;5888;4;4;1
44;treinoab3;5;A3.jpg;557;grey.jpg;B1.jpg;B3.jpg;B2.jpg;1808;3;3;1
45;treinoab3;6;A2.jpg;499;B2.jpg;B3.jpg;grey.jpg;B1.jpg;792;1;1;1
46;treinoab3;7;A1.jpg;312;grey.jpg;B1.jpg;B2.jpg;B3.jpg;1360;2;2;1
47;treinoab3;8;A1.jpg;444;grey.jpg;B2.jpg;B1.jpg;B3.jpg;6120;3;3;1
48;treinoab3;9;A2.jpg;525;B3.jpg;B2.jpg;B1.jpg;grey.jpg;1784;2;2;1
49;treinoab3;10;A3.jpg;491;B1.jpg;grey.jpg;B2.jpg;B3.jpg;3520;4;4;1
50;treinoab3;11;A3.jpg;569;B2.jpg;B3.jpg;B1.jpg;grey.jpg;5016;2;2;1
51;treinoab3;12;A1.jpg;355;B1.jpg;B2.jpg;B3.jpg;grey.jpg;1024;1;1;1
52;treinoab3;13;A2.jpg;385;B3.jpg;B1.jpg;B2.jpg;grey.jpg;992;3;3;1
53;treinoab3;14;A1.jpg;338;B2.jpg;B3.jpg;grey.jpg;B1.jpg;2624;4;4;1
54;treinoab3;15;A3.jpg;563;B3.jpg;B1.jpg;grey.jpg;B2.jpg;4536;1;1;1
55;treinoab3;16;A2.jpg;420;grey.jpg;B2.jpg;B1.jpg;B3.jpg;5128;2;3;0
56;treinoab3;17;A2.jpg;714;B1.jpg;grey.jpg;B3.jpg;B2.jpg;904;4;1;0
57;treinoab3;18;A3.jpg;495;B2.jpg;grey.jpg;B3.jpg;B1.jpg;2368;3;3;1
4;treinoab4;1;A1.jpg;25801;B1.jpg;grey.jpg;B2.jpg;B3.jpg;2275;1;1;1
5;treinoab4;2;A2.jpg;457;grey.jpg;B1.jpg;B2.jpg;B3.jpg;1975;3;3;1
6;treinoab4;3;A1.jpg;405;B2.jpg;B3.jpg;grey.jpg;B1.jpg;1183;4;4;1
7;treinoab4;4;A3.jpg;382;B3.jpg;B2.jpg;B1.jpg;grey.jpg;968;1;1;1
8;treinoab4;5;A3.jpg;370;B1.jpg;B2.jpg;B3.jpg;grey.jpg;856;3;3;1
9;treinoab4;6;A1.jpg;488;grey.jpg;B1.jpg;B3.jpg;B2.jpg;1864;2;2;1
10;treinoab4;7;A2.jpg;332;B2.jpg;B3.jpg;grey.jpg;B1.jpg;4496;1;1;1
11;treinoab4;8;A3.jpg;392;B2.jpg;B1.jpg;grey.jpg;B3.jpg;927;4;4;1
12;treinoab4;9;A2.jpg;428;grey.jpg;B2.jpg;B1.jpg;B3.jpg;2464;2;2;1
13;treinoab4;10;A3.jpg;586;B1.jpg;B3.jpg;B2.jpg;grey.jpg;2472;2;2;1
14;treinoab4;11;A1.jpg;838;B2.jpg;grey.jpg;B1.jpg;B3.jpg;5600;3;3;1
